model,feat,model_class,random_seed,roc_auc
model_e16_2021_08_06_16_02_47.pth,A,vgg,5,{0: 0.8658949522686549, 1: 0.8370088097682757, 2: 0.9814101612743643, 3: 0.9516533399656568, 4: 0.8605287658304532, 5: 0.9407993370378521, 6: 0.8514515413743305, 7: 0.8881449344996679, 'micro': 0.9322349123541503}
Win_30_Stride_5_2021_08_18_14_43_54-e80accuracy0.9556.hdf5,A,mozzbnnv2,5,{0: 0.8397029610387242, 1: 0.828066240487924, 2: 0.9570000989413278, 3: 0.9154640864148073, 4: 0.7821108971334073, 5: 0.9250728983274648, 6: 0.8724542591055366, 7: 0.922532962141232, 'micro': 0.9190408600158666}
model_e90_2021_08_07_00_03_43.pth,A,resnet18,5,{0: 0.8632565572156551, 1: 0.8606993660112701, 2: 0.984054368259622, 3: 0.9262450871907294, 4: 0.8874567970513589, 5: 0.9321736080545774, 6: 0.9390462544963858, 7: 0.8312083998699886, 'micro': 0.9312489580680509}
model_e94_2021_08_06_21_37_05.pth,A,resnet50,5,{0: 0.8351542858619885, 1: 0.8418764564229015, 2: 0.9871895715840507, 3: 0.9553846176758372, 4: 0.896955706615312, 5: 0.9490107146786974, 6: 0.9012737706720035, 7: 0.8732727555360853, 'micro': 0.9325309597774477}
2021_08_17_15_13_22_model_e004.pth,B,vgg,5,
Win_30_Stride_5_2021_07_31_03_25_35-e69accuracy0.9608.hdf5,B,mozzbnnv2,5,{0: 0.8651004342867288, 1: 0.8811829533956251, 2: 0.9773862293400246, 3: 0.9034032187347225, 4: 0.8367226904169062, 5: 0.9099093024039921, 6: 0.8506791500190954, 7: 0.9154296875, 'micro': 0.9292624736481938}
model_e77_2021_07_31_20_01_44.pth,B,resnet18,5,{0: 0.9229526271868468, 1: 0.9368816597520596, 2: 0.963522226188537, 3: 0.9485264392064245, 4: 0.9683964598097428, 5: 0.9573003617307201, 6: 0.9424164608703435, 7: 0.9598949535472974, 'micro': 0.9633259373270477}
model_e73_2021_08_01_18_19_10.pth,B,resnet50,5,{0: 0.84578597629865, 1: 0.8407899204043909, 2: 0.928063949317428, 3: 0.8699658067218299, 4: 0.8382569590755282, 5: 0.8560398433624098, 6: 0.800616813005796, 7: 0.7546056798986488, 'micro': 0.9056548177487792}
,A,vgg,10,{0:0.890, 1:0.871, 2:0.974, 3:0.950, 4:0.883, 5:0.952, 6:0.919, 7:0.928, 'micro':0.943}
Win_30_Stride_5_2021_08_18_15_04_54-e72accuracy0.9536.hdf5,A,mozzbnnv2,10,{0: 0.8473696722228438, 1: 0.8035617272196101, 2: 0.9325747304332255, 3: 0.9152017960078916, 4: 0.7710044054222164, 5: 0.9239096221483215, 6: 0.8751913707355821, 7: 0.9030988245023331, 'micro': 0.9159845328288768}
model_e97_2021_08_16_23_26_37.pth,A,resnet18,10,{0: 0.7458139354772089, 1: 0.8528744948496226, 2: 0.9803676724523861, 3: 0.7663236809619858, 4: 0.8649051831822878, 5: 0.9511930177498598, 6: 0.8891785098126515, 7: 0.8720562348632523, 'micro': 0.8939362170830951}
model_e99_2021_08_16_21_43_19.pth,A,resnet50,10,{0: 0.6646994156978495, 1: 0.8562448223612148, 2: 0.9900391399444879, 3: 0.9268343087656646, 4: 0.9215947936853902, 5: 0.9328273186352999, 6: 0.9154275422078086, 7: 0.9351550593655857, 'micro': 0.866380036572024}
2021_08_17_15_56_18_model_e015.pth,B,vgg,10,
Win_30_Stride_5_2021_08_03_09_42_31-e60accuracy0.9614.hdf5,B,mozzbnnv2,10,{0: 0.868455920254975, 1: 0.8615702636961775, 2: 0.9730785705361976, 3: 0.9308562976176432, 4: 0.851296768808193, 5: 0.9104649063525007, 6: 0.8836303162526624, 7: 0.9001826570333948, 'micro': 0.9318593580434757}
model_e28_2021_08_02_20_16_25.pth,B,resnet18,10,{0: 0.7840781397344898, 1: 0.8421399387425842, 2: 0.9569429654175418, 3: 0.8797721353575868, 4: 0.853519557413038, 5: 0.9015866473028914, 6: 0.8547976861542096, 7: 0.9095814714112069, 'micro': 0.8957285991184005}
model_e35_2021_08_16_15_48_41.pth,B,resnet50,10,{0: 0.6525429334546577, 1: 0.8432583427906882, 2: 0.9850586884485188, 3: 0.9326164570204788, 4: 0.8914036066782197, 5: 0.8994361818213772, 6: 0.8782776098135412, 7: 0.8643831973113588, 'micro': 0.8621975165859281}
model_e033_2021_08_17_11_40_29.pth,A,vgg,21,{0: 0.818, 1: 0.795, 2: 0.957, 3: 0.924, 4: 0.794, 5: 0.822, 6: 0.825, 7: 0.932, 'micro': 0.902}
,A,mozzbnnv2,21,{0: 0.8170196545917313, 1: 0.8111127416538446, 2: 0.9478667534616005, 3: 0.9136300805949962, 4: 0.7804814353611148, 5: 0.8663349471041779, 6: 0.734788777624092, 7: 0.8872927691382305, 'micro': 0.8996471720725929}
model_e97_2021_08_17_15_08_51.pth,A,resnet18,21,{0: 0.7167862256812063, 1: 0.8519269556383675, 2: 0.9848859348156994, 3: 0.9365691778496981, 4: 0.8390709792443033, 5: 0.891654499346807, 6: 0.8156109570754827, 7: 0.9103711738745496, 'micro': 0.8957420794204423}
model_e95_2021_08_17_17_46_53.pth,A,resnet50,21,{0: 0.7562153182580444, 1: 0.8661583820272685, 2: 0.9917748748244115, 3: 0.9624109880747354, 4: 0.8284534241308905, 5: 0.918563487794257, 6: 0.7617805772383149, 7: 0.9327196664030871, 'micro': 0.8977398423391644}
2021_08_17_13_28_25_model_e009.pth,B,vgg,21,
Win_30_Stride_5_2021_07_31_02_31_05-e77accuracy0.9633.hdf5,B,mozzbnnv2,21,{0: 0.8502981870229007, 1: 0.849051739196255, 2: 0.9469929230365854, 3: 0.9322344132512044, 4: 0.8140991959813502, 5: 0.8432175996349256, 6: 0.7260914040189472, 7: 0.8877960840870969, 'micro': 0.9110295743205659}
model_e78_2021_07_31_02_00_40.pth,B,resnet18,21,{0: 0.907429826653944, 1: 0.9018660114354919, 2: 0.9772856383871792, 3: 0.975732819039722, 4: 0.9157321333198608, 5: 0.9043455991405537, 6: 0.8711321300741771, 7: 0.8655805677916948, 'micro': 0.9490051251978446}
model_e14_2021_08_03_11_51_30.pth,B,resnet50,21,{0: 0.8208432729007634, 1: 0.8115046638640783, 2: 0.9757929671957332, 3: 0.7947146706941483, 4: 0.8562466619512968, 5: 0.8373920938545786, 6: 0.6791755511030099, 7: 0.8306014955087708, 'micro': 0.8778591332615912}
model_e26_2021_08_06_14_37_16.pth,A,vgg,42,{0: 0.8726072431633407, 1: 0.8178592076911456, 2: 0.9592799057730161, 3: 0.9497177636275616, 4: 0.8442075907446948, 5: 0.9226569422471246, 6: 0.8316916217582583, 7: 0.9275164813351504, 'micro': 0.9276311835379564}
Win_30_Stride_5_2021_08_18_14_10_40-e80accuracy0.9524.hdf5,A,mozzbnnv2,42,"{0: 0.8413341217048536, 1: 0.8042731678837424, 2: 0.9501691460410684, 3: 0.9258843037321745, 4: 0.8092579197350647, 5: 0.9134437955649396, 6: 0.866946066883948, 7: 0.9388043349633345, 'micro': 0.9180642995084345}"
model_e90_2021_08_17_13_16_16.pth,A,resnet18,42,"{0: 0.7894961320522296, 1: 0.873975026948315, 2: 0.9776990760162209, 3: 0.8564047280950408, 4: 0.908926750620942, 5: 0.9258152340791387, 6: 0.878187959168307, 7: 0.9421158713253399, 'micro': 0.9093801665683626}"
model_e97_2021_08_17_03_47_25.pth,A,resnet50,42,"{0: 0.749260014781966, 1: 0.8730887709864616, 2: 0.9785501844740607, 3: 0.9566200331873831, 4: 0.9177036036428603, 5: 0.9523068689923001, 6: 0.8881780631837103, 7: 0.9575398052396712, 'micro': 0.9068805213596176}"
2021_08_17_14_50_50_model_e009.pth,B,vgg,42,
,B,mozzbnnv2,42,{0: 0.865, 1: 0.881, 2: 0.959, 3: 0.935, 4: 0.874, 5: 0.886, 6: 0.849, 7: 0.934, 'micro':0.933}
,B,resnet18,42,{0: 0.846, 1: 0.843, 2: 0.937, 3: 0.928, 4: 0.825, 5: 0.762, 6: 0.796, 7: 0.833, 'micro':0.910}
,B,resnet50,42,{0: 0.841, 1: 0.849, 2: 0.933, 3: 0.919, 4: 0.847, 5: 0.811, 6: 0.837, 7: 0.869, 'micro':0.913}
2021_08_17_22_48_52_model_e028.pth,A,vgg,100,{0: 0.864, 1: 0.822, 2: 0.970, 3: 0.929, 4: 0.807, 5: 0.897, 6: 0.804, 7: 0.952, 'micro': 0.919}
Win_30_Stride_5_2021_08_18_18_31_04-e80accuracy0.9527.hdf5,A,mozzbnnv2,100,{0: 0.8389078973400046, 1: 0.823353413182107, 2: 0.9547407212906535, 3: 0.910908735222731, 4: 0.7918171772169456, 5: 0.9072111713645744, 6: 0.7991306576348862, 7: 0.9395864415898009, 'micro': 0.9164868537136536}
model_e94_2021_08_17_22_53_57.pth,A,resnet18,100,{0: 0.6618581357057157, 1: 0.8095909711273737, 2: 0.9841202476765062, 3: 0.7924360969129527, 4: 0.8327885574699015, 5: 0.9106598967583335, 6: 0.8526972226270221, 7: 0.9406154895171608, 'micro': 0.8762340668507328}
model_e98_2021_08_18_01_51_12.pth,A,resnet50,100,{0: 0.6811987791198945, 1: 0.8304175600630916, 2: 0.9788966938948171, 3: 0.9065493065726914, 4: 0.8959086579308848, 5: 0.907146523252264, 6: 0.897480181677315, 7: 0.9038360015896836, 'micro': 0.8628581699813198}
2021_08_17_16_55_17_model_e011.pth,B,vgg,100,
Win_30_Stride_5_2021_07_31_13_20_53-e68accuracy0.9601.hdf5,B,mozzbnnv2,100,{0: 0.8783979335446752, 1: 0.8606896208591721, 2: 0.9723285337141679, 3: 0.9163527200878863, 4: 0.8784291728885104, 5: 0.8653711484593838, 6: 0.7928047235881388, 7: 0.9454135230293885, 'micro': 0.9291024226844671}
model_e99_2021_07_31_16_58_14.pth,B,resnet18,100,{0: 0.8471517200892333, 1: 0.8359428490084403, 2: 0.9607714223098839, 3: 0.9048423292005864, 4: 0.8631383864390335, 5: 0.8048531339141162, 6: 0.840628259573834, 7: 0.8854465761299131, 'micro': 0.9143897312093303}
model_e85_2021_08_02_07_17_14.pth,B,resnet50,100,{0: 0.8713980979218034, 1: 0.8770412006241388, 2: 0.9334606168533831, 3: 0.8957214466894431, 4: 0.8724145133402227, 5: 0.7778289067920746, 6: 0.8119500633288631, 7: 0.8704534023137172, 'micro': 0.9191073388359018}
